,character,freq,meaning,on,kun,nanori
4736,碚,,"['mound', 'bud']",['ハイ'],[],[]
4737,碌,,['satisfactory'],['ロク'],['ろく.な'],[]
4738,碣,,"['round stone', 'monument']",['ケツ'],['いしぶみ'],[]
4739,碵,,"['cornerstone', 'large', 'great', 'eminent']",[],[],"['せき', 'ひろ', 'いしずえ', 'みつる', 'みち']"
4740,碪,,"['stone slab used for washing clothes', 'an anvil']",['チン'],['きぬた'],[]
4741,碯,,['agate'],['ノウ'],[],[]
4742,磑,,"['mortar', 'hand mill']",['ガイ'],['う.す'],[]
4743,磆,,['stone implement'],['カツ'],[],[]
4744,磋,,['polish'],['サ'],['みが.く'],[]
4745,磔,,['crucifixion'],"['タク', 'チャク']","['さ.く', 'はりつけ', 'ひらく']",[]
4746,碾,,"['mortar', 'grind']",['テン'],"['ひ.く', 'う.す']",[]
4747,碼,,"['number', 'wharf', 'agate', 'yard (91.44 cm)']","['バ', 'メ']","['やあど', 'やある']",[]
4748,磅,,"['become obstructed', 'pound (sterling, lb)']","['ボウ', 'ホウ']",['ぽんど'],[]
4749,磊,,['many stones'],['ライ'],[],[]
4750,磬,,['upside-V-shaped gong'],['ケイ'],[],[]
4751,磧,,"['expanse of sand', 'pebbly beach']",['セキ'],['かわら'],[]
4752,磚,,['tile'],['セン'],['かわら'],[]
4753,磽,,"['rocky', 'barren']","['コウ', 'キョウ']",[],[]
4754,磴,,"['stone steps', 'stone bridge']",['トウ'],[],[]
4755,礇,,['jewel'],['イク'],[],[]
4756,礒,2344,"['rock', 'beach', 'shore']","['ギ', 'ガ']","['いそ', 'いわお']",[]
4757,礑,,"['bottom', 'base', 'slap', 'bang', 'all of a sudden']",['トウ'],"['はた', 'はたと']",[]
4758,礙,,"['obstruct', 'hinder', 'block', 'deter']","['ガイ', 'ゲ']",['さまた.げる'],[]
4759,礬,,['alum'],"['バン', 'ハン']",[],[]
4760,礫,,['small stones'],['レキ'],"['つぶて', 'こいし']",[]
4761,祀,,"['enshrine', 'worship']",['シ'],"['まつ.る', 'まつり']",[]
4762,祠,,['small shrine'],['シ'],"['ほこら', 'まつる']",[]
4763,祗,,['respectful'],['シ'],"['つつし.む', 'まさに']",[]
4764,祟,,"['curse', 'haunt']",['スイ'],"['たた.る', 'たた.り']",[]
4765,祚,,"['imperial throne', 'happiness']",['ソ'],"['くら.い', 'さいわ.い']",[]
4766,祕,,"['mysterious', 'secret', 'abstruse']",['ヒ'],"['ひ.める', 'かく.す']",[]
4767,祓,,['exorcise'],"['フツ', 'ハイ']",['はら.う'],[]
4768,祺,,"['fortunate', 'blessed', 'peace of mind', 'security']",['キ'],"['さいわ.い', 'やす.い']",[]
4769,祿,,"['fief', 'allowance', 'pension', 'grant', 'happiness']",['ロク'],"['さいわ.い', 'ふち']",[]
4770,禊,,['Shinto purification ceremony'],"['ケイ', 'カツ']","['みそぎ', 'はら.う']",[]
4771,禝,,['proper name'],['ショク'],['きび'],[]
4772,禧,,"['fortunate', 'auspicious']",['キ'],['さいわ.い'],[]
4773,齋,,"['Buddhist food', 'room', 'religious purification', 'worship', 'avoid', 'alike']",['サイ'],"['つつし.む', 'とき', 'ものいみ']",[]
4774,禪,,"['Zen Buddhism', 'silent meditation']","['ゼン', 'セン']","['しずか', 'ゆず.る']",[]
4775,禮,,"['social custom', 'manners', 'courtesy', 'rites']","['レイ', 'ライ']",[],"['ひろ', 'れ']"
4776,禳,,"['exorcise', 'drive away']",['ジョウ'],['はら.う'],[]
4777,禹,,['name of a Chinese emperor'],['ウ'],[],[]
4778,禺,,['long-tailed monkey'],"['グ', 'グウ']",['おながざる'],[]
4779,秉,,"['take', 'cherish', 'sheaf', 'unit of volume (10 koku; 1,800 l)']",['ヘイ'],['と.る'],[]
4780,秕,,"['empty grain or rice husk', 'chaff']",['ヒ'],['しいな'],[]
4781,秧,,"['rice', 'seedlings']",['オウ'],['なえ'],[]
4782,秬,,['a type of millet'],['キョ'],['くろきび'],[]
4783,秡,,['damaged grain'],"['ハツ', 'バチ']",[],['はらい']
4784,秣,,['fodder'],"['マツ', 'バツ']","['まぐさ', 'まぐさかう']",[]
4785,稈,,"['straw', 'hollow stem']",['カン'],['わら'],[]
4786,稍,,['slightly'],"['ソウ', 'ショウ']","['やや', 'ようやく']",[]
4787,稘,,"['straw', 'one year']",['キ'],[],[]
4788,稙,,['early-maturing rice'],"['ショク', 'チョク']",[],['たね']
4789,稠,,['density'],"['チュウ', 'チョウ']","['おお.い', 'し.げる']",[]
4790,稟,,['salary in rice'],"['リン', 'ヒン']",['こめぐら'],[]
4791,禀,,['salary in rice'],"['リン', 'ヒン']",['こめぐら'],[]
4792,稱,,"['call', 'name', 'brand', 'address', 'say']",['ショウ'],"['たた.える', 'とな.える', 'あ.げる', 'かな.う', 'はか.る', 'ほめ.る']",[]
4793,稻,,['rice plant'],"['トウ', 'テ']","['いね', 'いな-']",[]
4794,稾,,"['draft', 'manuscript', 'rough copy']",['コウ'],"['わら', 'したがき']",[]
4795,稷,,['millet'],['ショク'],['きび'],[]
4796,穃,,['(no known meaning; S&H uses jabberwocky words)'],['ヨウ'],[],[]
4797,穗,,"['ear (of grain)', 'head', 'crest (of wave)']",['スイ'],['ほ'],['お']
4798,穉,,['infancy'],"['チ', 'ジ']","['いと.けない', 'おさ.ない', 'おく.て', 'おご.る']",[]
4799,穡,,['harvest'],['ショク'],[],[]
4800,穢,,['dirty'],"['アイ', 'エ', 'ワイ']","['けが.す', 'けが.れ', 'けが.れる']",[]
4801,穩,,['calm'],['オン'],['おだ.やか'],[]
4802,龝,,['autumn'],['シュウ'],"['あき', 'とき']",[]
4803,穰,,['abundance'],['ジョウ'],"['わら', 'ゆたか']",['みのる']
4804,穹,,['sky'],"['キュウ', 'キョウ']","['あめ', 'そら']",[]
4805,穽,,['sunken trap'],['セイ'],['おとしあな'],[]
4806,窈,,['quiet'],['ヨウ'],[],[]
4807,窗,,"['window', 'pane']","['ソウ', 'ス']","['まど', 'てんまど', 'けむだし']",[]
4808,窕,,['quiet'],"['チョウ', 'ヨウ']",['うつく.しい'],[]
4809,窘,,['rebuke'],['キン'],"['たしな.める', 'くるし.む']",[]
4810,窖,,['cellar'],"['コウ', 'キョウ']",['あなぐら'],[]
4811,窩,,"['cave', 'pouch']","['カ', 'ワ']",['むろ'],[]
4812,竈,,"['hearth', 'kitchen stove']",['ソウ'],"['かまど', 'かま', 'へっつい']",[]
4813,窰,,"['brick kiln', 'furnace', 'coal mine pit']",['ヨウ'],['かま'],[]
4814,窶,,['emaciated'],"['ロウ', 'ク', 'ル']","['や.つる', 'や.つれる']",[]
4815,竅,,"['hole', 'cave']",['キョウ'],['あな'],[]
4816,竄,,['flee'],"['ザン', 'サン']","['かく.れる', 'のが.れる']",[]
4817,窿,,"['vault (of sky)', 'dome']",['リュウ'],[],[]
4818,邃,,"['deep', 'profound']",['スイ'],['おくぶか.い'],[]
4819,竇,,"['hole', 'doorway', 'ditch']","['トウ', 'トク']",['あな'],[]
4820,竊,,"['steal', 'secret', 'private', 'hushed']",['セツ'],"['ぬす.む', 'ひそ.かに']",[]
4821,竍,,"['decalitre', '(kokuji)']",[],['デカリットル'],[]
4822,竏,,"['kilolitre', '(kokuji)']",[],['キロリットル'],[]
4823,竕,,"['decilitre', '(kokuji)']",[],['デシリットル'],[]
4824,竓,,"['millilitre', '(kokuji)']",[],['ミリリットル'],[]
4825,站,,"['stop', 'halt']",['タン'],[],[]
4826,竚,,"['stop', 'linger']",['チョ'],['たたず.む'],[]
4827,竝,,"['line up', 'be in a row', 'rank with', 'rival', 'equal']","['ヘイ', 'ホウ']","['な.み', 'なら.べる', 'なら.ぶ', 'なら.びに']",[]
4828,竡,,"['hectolitre', '(kokuji)']",[],['ヘクトリットル'],[]
4829,竢,,"['wait for', 'wait until', 'as soon as']",['シ'],['まつ'],[]
4830,竦,,"['crouch', 'cower']",['ショウ'],"['すく.む', 'おそ.れる', 'つつし.む']",[]
4831,竭,,"['end', 'exhaust']",['ケツ'],['つく.す'],[]
4832,竰,,"['centilitre', '(kokuji)']",[],['センチリットル'],[]
4833,笂,,"['quiver', 'arrow holder', '(kokuji)']",[],['うつぼ'],[]
4834,笏,2306,"['mace', 'baton', 'scepter']",['コツ'],['しゃく'],[]
4835,笊,,['bamboo basket'],['ソウ'],"['ざる', 'す']",[]
4836,笆,,"['thorny bamboo', 'bamboo fence']",['ハ'],[],[]
4837,笳,,['reed flute'],['カ'],['あしぶえ'],[]
4838,笘,2268,"['whip', 'cane', 'wooden writing slate']","['セン', 'チョウ']",[],[]
4839,笙,,['a reed instrument'],"['ショウ', 'ソウ']",['ふえ'],[]
4840,笞,,"['whip', 'rod', 'scourge', 'crime punishable by flogging']",['チ'],"['むち', 'しもと']",[]
4841,笵,,"['bamboo frame', 'law']","['ハン', 'ボン']",['のり'],[]
4842,笨,,['coarse'],['ホン'],['あら.い'],['がさ']
4843,笶,,['arrow'],['シ'],[],[]
4844,筐,,['bamboo basket'],['キョウ'],"['かたみ', 'かご', 'はこ']",[]
4845,筺,,['bamboo basket'],['キョウ'],"['かたみ', 'かご', 'はこ']",['こばこ']
4846,笄,,"['hairpin', 'crossbar of anchor', 'metal rod on sheath']",['ケイ'],['こうがい'],[]
4847,筍,,['bamboo shoot'],"['ジュン', 'シュン', 'イン']","['たけのこ', 'たかんな']",[]
4848,笋,,['bamboo shoot'],"['ジュン', 'シュン', 'イン']","['たけのこ', 'たかんな']",[]
4849,筌,,"['fish trap', 'weir']",['セン'],"['うけ', 'うえ']",[]
4850,筅,,['bamboo whisk for tea-making'],['セン'],['ささら'],[]
4851,筵,,['straw mat'],['エン'],['むしろ'],[]
4852,筥,,['round basket'],['キョ'],[],['はこ']
4853,筴,,"['insert between', 'chopsticks', 'divining sticks', 'plan']","['キョウ', 'サク']",['めどぎ'],[]
4854,筧,,"['waterpipe', 'flume']",['ケン'],[],"['かけひ', 'かけい']"
4855,筰,,['bamboo rope'],['サク'],['しゃく'],[]
4856,筱,,"['dwarf bamboo', ""diminutive in person's name""]","['ゾウ', 'ショウ']",['しの'],[]
4857,筬,,"['reed', 'guide for yarn on a loom']",['セイ'],['おさ'],[]
4858,筮,,['(water) divining equipment'],"['ゼイ', 'セイ']","['うらな.う', 'めどぎ']",[]
4859,箝,,"['insert', 'fit into', 'attach (a clog thong)']","['カン', 'ケン']","['す.げる', 'くびかせ', 'はさ.む']",[]
4860,箘,,"['a type of bamboo', 'bamboo shoots', 'dice']",['キン'],[],[]
4861,箟,,"['a type of bamboo', 'bamboo shoots', 'dice']",['キン'],[],[]
4862,箍,,['barrel hoop'],['コ'],['たが'],[]
4863,箜,,['type of harp'],"['ク', 'コウ']",[],[]
4864,箚,,['progress report'],"['トウ', 'サツ', 'チョウ']",['さ.す'],[]
4865,箋,,"['paper', 'label', 'letter', 'composition']",['セン'],['ふだ'],[]
4866,箒,,['broom'],"['ソウ', 'シュウ']",['ほうき'],[]
4867,箏,2290,['a koto'],"['ソウ', 'ショウ']",['こと'],[]
4868,筝,,['koto'],"['ソウ', 'ショウ']",['こと'],[]
4869,箙,,['quiver'],['フク'],['えびら'],[]
4870,篋,,['box'],['キョウ'],['はこ'],[]
4871,篁,,['bamboo grove'],['コウ'],['たかむら'],[]
4872,篌,,['type of harp'],"['ゴ', 'コウ']",[],[]
4873,篏,,"['inlay', 'set in', 'fall into', 'rugged']",['カン'],"['は.める', 'は.まる', 'あな']",[]
4874,箴,,"['warning', 'counsel', 'presept', 'needle']",['シン'],"['いまし.める', 'はり']",[]
4875,篆,2243,['seal-style characters'],['テン'],[],[]
4876,篝,,"['campfire', 'fishing fire', 'beacon basket']",['コウ'],"['かがりび', 'かがり', 'ふせご']",[]
4877,篩,,"['sieve', 'sift', 'screen']","['シ', 'サイ']",['ふる.う'],[]
4878,簑,2427,['a coat raincoat'],"['サ', 'サイ']",['みの'],[]
4879,簔,,['straw raincoat'],"['サ', 'サイ']",['みの'],[]
4880,篦,,"['spatula', 'arrow shaft']","['ヘイ', 'ハイ']","['へら', 'の']",[]
4881,篥,,"['horn', 'flageolet']","['リキ', 'リツ', 'リチ']",[],[]
4882,籠,,"['basket', 'devote oneself', 'seclude oneself', 'cage', 'coop', 'implied']","['ロウ', 'ル']","['かご', 'こ.める', 'こも.る', 'こ.む']","['ごめ', 'もり']"
4883,簀,,['rough mat (reeds)'],"['サク', 'ジャク', 'セキ']",['す'],[]
4884,簇,,"['group', 'crowd', 'swarm']","['ゾク', 'ソウ', 'ソク']",['むら.がる'],[]
4885,簓,,"['bamboo whisk', '(kokuji)']",[],['ささら'],[]
4886,篳,,['fence'],"['ヒチ', 'ヒツ']",['まがき'],[]
4887,篷,,['woven rush awning'],['ホウ'],['とま'],[]
4888,簗,2278,"['weir', 'fish trap', '(kokuji)']",['リョウ'],['やな'],[]
4889,簍,,['bamboo basket'],"['ル', 'ロウ']",[],[]
4890,篶,,"['black bamboo', 'slender bamboo']",['エン'],"['くろだけ', 'すず']",[]
4891,簣,,['earth-carrying basket'],['キ'],"['もっこ', 'あじか']",[]
4892,簧,,['flute reed'],['コウ'],['した'],[]
4893,簪,,['ornamental hairpin'],"['シン', 'サン']",['かんざし'],[]
4894,簟,,"['a type of bamboo', 'round bamboo lunchbox']","['タン', 'テン']",['たかむしろ'],[]
4895,簷,,['eaves'],['エン'],['ひさし'],[]
4896,簫,,"['pan pipes', 'flute']",['ショウ'],['ふえ'],[]
4897,簽,,"['label', 'signature']",['セン'],['かご'],[]
4898,籌,,['plan'],['チュウ'],"['かずとり', 'はかりごと']",[]
4899,籃,,['basket'],['ラン'],['かご'],[]
4900,籔,,"['thicket', 'bush', 'underbrush', 'grove']",['ソウ'],['やぶ'],[]
4901,籏,,"['flag', 'banner']",['キ'],['はた'],[]
4902,籀,,['a style of calligraphy'],"['チュウ', 'シュウ', 'ジュ']",['よ.む'],[]
4903,籐,,"['rattan', 'cane']",['トウ'],[],[]
4904,籘,,"['climbing plants', 'vines', 'cane']",['トウ'],[],[]
4905,籟,,['rattling of the wind'],['ライ'],['ふえ'],[]
4906,籤,,"['lottery', 'raffle']",['セン'],"['くじ', 'かずとり']",[]
4907,籖,,"['lottery', 'raffle']",['セン'],"['くじ', 'かずとり']",[]
4908,籥,,['three-holed flute'],['ヤク'],['ふえ'],[]
4909,籬,,"['rough-woven fence', 'bamboo hedge']",['リ'],"['まがき', 'かき']",[]
4910,籵,,"['dekametre', '(kokuji)']",[],['デカメートル'],[]
4911,粃,,['empty grain husk'],['ヒ'],"['しな', 'しいな']",[]
4912,粐,,['rice-bran'],"['ロ', 'コ']",['ぬか'],['よねど']
4913,粤,,['alas'],['エツ'],['ここに'],[]
4914,粭,,"['chaff', 'rice hulls', '(kokuji)']",[],['すくも'],[]
4915,粢,,"['millet', 'rice cakes']",['シ'],['しとぎ'],[]
4916,粫,,['nonglutinous grain'],"['ジ', 'メン']",['うるち'],[]
4917,粡,,['unpolished rice'],['トウ'],[],[]
4918,粨,,"['hectometre', '(kokuji)']",[],['ヘクトメートル'],[]
4919,粳,,['ordinary rice'],['コウ'],"['うるち', 'ぬか']",[]
4920,粲,,['bright'],['サン'],['いい'],[]
4921,粱,,['high quality rice'],['リョウ'],['あわ'],[]
4922,粮,,"['food', 'provisions']","['リョウ', 'ロウ']",['かて'],[]
4923,粹,,"['pure', 'unadulterated', 'select']",['スイ'],['いき'],[]
4924,粽,,['rice dumplings steamed in bamboo leaves'],['ソウ'],['ちまき'],[]
4925,糀,,"['malt', '(kokuji)']",[],['こうじ'],[]
4926,糅,,['mix'],['ジュウ'],['ま.じる'],[]
4927,糂,,['mixing rice into soup'],['ジン'],[],[]
4928,糘,,"['chaff', 'rice hulls', '(kokuji)']",[],['すくも'],[]
4929,糒,,['dried boiled rice'],"['ビ', 'ハイ']","['ほしい', 'ほしい.い']",[]
4930,糜,,['be inflamed'],['ビ'],['ただ.れる'],[]
4931,糢,,['rice snacks'],"['ボ', 'モ']","['かた', 'のっとる']",[]
4932,鬻,,"['sell', 'deal in']","['イク', 'シュク']","['かゆ', 'かい', 'ひさ.ぐ']",[]
4933,糯,,['glutinous rice'],"['ダ', 'ナ']",['もちごめ'],[]
4934,糲,,['unpolished rice'],"['レイ', 'ラツ']","['あら.い', 'くろごめ']",[]
4935,糴,,"['sell (grain)', 'auction']","['チョウ', 'テキ']","['う.る', 'せり', 'かいよね']",[]
4936,糶,,['auction'],['チョウ'],"['せり', 'うりよね']",[]
4937,糺,,"['ask', 'investigate', 'verify', 'twist (rope)']",['キュウ'],"['ただ.す', 'あざな.う']",[]
4938,紆,,['crouch'],['ウ'],"['まが.る', 'めぐ.る']",[]
4939,紂,,"['harness strap', 'window']",['チュウ'],['しりがい'],[]
4940,紜,,"['disorder', 'confusion']",['ウン'],['みだ.れる'],[]
4941,紕,,"['braiding', 'decoration', 'error']",['ヒ'],[],[]
4942,紊,,['disturb'],"['ビン', 'ブン']",['みだ.れる'],[]
4943,絅,,['thin silk'],['ケイ'],['ひ.く'],[]
4944,絋,,['cotton wadding'],['コウ'],[],[]
4945,紮,,['tie up'],['サツ'],['からげる'],[]
4946,紲,,['fetters'],['セツ'],['きずな'],[]
4947,紿,,['deceive'],['タイ'],['あざむ.く'],[]
4948,紵,,"['flax', 'linen']",['チョ'],[],[]
4949,絆,2220,"['bonds', 'fetters']",['ハン'],"['きずな', 'ほだ.す', 'つな.ぐ']",[]
4950,絳,,['red'],['コウ'],['あか'],[]
4951,絖,,['white rice'],['コウ'],"['ぬめ', 'わた']",[]
4952,絎,,['blindstitch'],['コウ'],"['く.れる', 'く.ける']",[]
4953,絲,,['thread'],['シ'],['いと'],[]
4954,絨,,['wool cloth'],['ジュウ'],[],[]
4955,絮,,['cotton'],"['ジョ', 'ショ']",['わた'],[]
4956,絏,,['tie'],['セツ'],[],[]
4957,絣,,['splashed pattern (on cloth)'],['ホウ'],['かすり'],[]
4958,經,,"['classic works', 'pass through']","['ケイ', 'キョウ']","['へ.る', 'た.つ', 'たていと', 'はか.る', 'のり']",['つね']
4959,綉,,['embroidery'],"['シュウ', 'ツ', 'トウ']",[],[]
4960,絛,,['braid'],"['ジュウ', 'ジョウ', 'トウ']",['さなだ'],[]
4961,綏,,"['peaceful', 'cheap', 'grab strap']","['スイ', 'タ']",['やす.い'],[]
4962,絽,,['silk gauze'],"['ロ', 'リョ']",[],[]
4963,綛,,"['splashed dye pattern', 'reel', 'skein', '(kokuji)']",[],"['かせ', 'かすり']",[]
4964,綺,2413,"['figured cloth', 'beautiful']",['キ'],['あや'],[]
4965,綮,,['emblem on banner'],['ケイ'],[],[]
4966,綣,,"['attachment', 'affection']",['ケン'],[],[]
4967,綵,,['colorful'],['サイ'],"['あや', 'あやぎぬ']",[]
4968,緇,,"['black clothing', 'priest']",['シ'],['くろ'],[]
4969,綽,,"['loose', 'lenient']",['シャク'],"['あだ', 'しな.やか', 'ゆる.やか']",[]
4970,綫,,"['thread', 'line']",['セン'],['すじ'],[]
4971,總,,"['collect', 'overall', 'altogether']",['ソウ'],"['す.べて', 'すべ.て', 'ふさ']",['ずさ']
4972,綢,,"['be clothed in', 'tie', 'detailed', 'fine']","['チュウ', 'トウ']",['まとう'],[]
4973,綯,,"['twist', 'make rope']",['トウ'],"['な.う', 'なわ', 'よ.る']",[]
4974,緜,,['cotton'],['メン'],"['わた', 'つら.なる']",[]
4975,綸,,"['thread', 'silk cloth']","['リン', 'カン']",['いと'],[]
4976,綟,,"['yellowish green', 'coarse mesh linen']",['レイ'],['もじ'],[]
4977,綰,,['bend around'],['ワン'],"['わが.ねる', 'たが.ねる', 'たか.ねる']",[]
4978,緘,,"['shut', 'seal']",['カン'],"['かん.する', 'と.じる']",[]
4979,緝,,"['spin thread', 'bring together', 'shine']",['シュウ'],['つむ.ぐ'],[]
4980,緤,,['leash'],"['セツ', 'セチ']","['きずな', 'つな.ぐ']",[]
4981,緞,,['damask'],"['ドン', 'タン']",[],[]
4982,緻,2460,['fine (i.e. not coarse)'],['チ'],['こまか.い'],[]
4983,緲,,"['faint', 'far off']","['ビョウ', 'ミョウ']",[],[]
4984,緡,,['paper string'],"['ビン', 'コン', 'ミン']","['さし', 'つりいと', 'なわ', 'ぜにさし']",[]
4985,縅,,"['the thread/braid (of armour)', '(kokuji)']",[],['おど.す'],[]
4986,縊,,['strangle'],"['イ', 'エイ']","['くび.る', 'くび.れる']",[]
4987,縣,,"['county', 'district', 'subdivision']",['ケン'],['か.ける'],"['あがた', 'がた']"
4988,縡,,"['breath', 'life']",['サイ'],['こと'],[]
4989,縒,,['twist'],"['シ', 'サ']",['よ.る'],[]
4990,縱,,"['indulge in', 'give free reign to']",['ジュウ'],['たて'],[]
4991,縟,,['decoration'],['ジョク'],['しげし'],[]
4992,縉,,"['thin red cloth', 'high officer']",['シン'],['さしはさ.む'],[]
4993,縋,,"['cling', 'hang on', 'depend']",['ツイ'],['すが.る'],[]
4994,縢,,"['cross-stitch', 'darn']",['トウ'],"['かが.る', 'かな', 'から.げる', 'むかばき']",[]
4995,繆,,"['error', 'wrap around']","['ビュウ', 'キュウ', 'ボク', 'リョウ']","['あやま.る', 'まと.う']",['こら']
4996,繦,,"['string of coins', ""child's obi"", 'nappy']",['キョウ'],"['むつき', 'ぜにさし']",[]
4997,縻,,['rope'],"['ビ', 'ミ']",['きずな'],[]
4998,縵,,"['unpatterned silk', 'loose']","['マン', 'バン']",[],[]
4999,縹,,['light blue'],['ヒョウ'],['はなだ'],[]
5000,繃,,['wrap'],"['ホウ', 'ヒョウ']","['まく', 'たば.ねる']",[]
5001,縷,,['thread'],"['ル', 'ロウ']",['いと'],[]
5002,縲,,['tie'],['ルイ'],[],[]
5003,縺,,"['tangle', 'knot', 'fasten', 'fetter']",['レン'],['もつ.れる'],[]
5004,繧,,['a method of dyeing'],['ウン'],[],[]
5005,繝,,['a method of dyeing'],"['カン', 'ケン']",[],[]
5006,繖,,"['parasol', 'umbrella']",['サン'],[],[]
5007,繞,,"['surround', 'return']","['ジョウ', 'ニョウ']","['めぐ.る', 'まわ.る', 'もとう.る', 'まとう']",[]
5008,繙,,['peruse'],"['ハン', 'ホン']",['ひもと.く'],[]
5009,繚,,"['put on', 'twist around']",['リョウ'],"['まと.う', 'めぐ.る']",[]
5010,繹,,['pull out'],"['エキ', 'ヤク']","['たずね.る', 'ぬ.く']",[]
5011,繪,,"['picture', 'drawing', 'painting', 'sketch']","['カイ', 'エ']",[],[]
5012,繩,,"['rope', 'cord']",['ジョウ'],"['なわ', 'ただ.す']",[]
5013,繼,,"['succeed', 'inherit', 'patch', 'graft (tree)']",['ケイ'],"['つ.ぐ', 'まま-']",[]
5014,繻,,['satin'],['シュ'],['うすぎぬ'],[]
5015,纃,,"['splashed pattern dyeing or weaving', '(kokuji)']",[],['かすり'],[]
5016,緕,,['splashed pattern dyeing or weaving'],[],['かすり'],[]
5017,繽,,"['disorder', 'scattering']",['ヒン'],['おおし'],[]
5018,辮,,['braid'],"['ベン', 'ヘン']",['あ.む'],[]
5019,繿,,['rags'],['ラン'],['ぼろ'],[]
5020,纈,,"['tie-dyeing', 'purblind']","['ケツ', 'ケチ']",['しぼり'],['ぶさ']
5021,纉,,"['succeed to', 'inherit']","['サン', 'サブ']",['つ.ぐ'],[]
5022,續,,"['continue', 'carry on', 'succeed']","['ゾク', 'ショク', 'コウ', 'キョウ']","['つづ.く', 'つづ.ける', 'つぐ.ない']","['つぐ', 'つづき']"
5023,纒,,"['wear', 'wrap', 'tie', 'follow around', 'collect']",['テン'],"['まつ.わる', 'まと.う', 'まと.める', 'まと.まる']",[]
5024,纐,,"['tie-dyeing', '(kokuji)']",['コウ'],[],['はな']
5025,纓,,"['crown string', 'breast harness']","['エイ', 'ヨウ']",[],[]
5026,纔,,['a little'],"['サン', 'ザン', 'サイ']","['わずか', 'ひたた']",[]
5027,纖,,"['fine', 'slender', 'thin kimono']",['セン'],[],[]
5028,纎,,"['fine', 'delicate', 'minute', 'graceful']",['セン'],[],[]
5029,纛,,"['flag', 'banner']","['トウ', 'トク']","['はたぼこ', 'おにがしら']",[]
5030,纜,,['hawser'],['ラン'],['ともづな'],[]
5031,缸,,['urn'],['コウ'],['かめ'],[]
5032,缺,,"['lack', 'gap', 'fail']","['ケツ', 'ケン']","['か.ける', 'か.く']",[]
5033,罅,,"['fissure', 'crack', 'hole']","['カ', 'ケ']","['ひび', 'すき']",['もたい']
5034,罌,,['vase'],"['オウ', 'エイ', 'ヨウ']","['もたい', 'ほとぎ', 'かめ']",[]
5035,罍,,['liquor jar'],['ライ'],['さかだる'],[]
5036,罎,,"['bottle', 'vial', 'jar']","['ドン', 'タン']",['びん'],[]
5037,罐,,['steam boiler (left side only)'],['カン'],['かま'],"['ふ', 'べ']"
5038,网,,"['net', 'net or net crown radical (no. 122)']","['モウ', 'ボウ']",['あみ'],[]
5039,罕,,"['bird-catching net', 'rare']",['カン'],['まれ'],[]
5040,罔,,['net'],"['モウ', 'ボウ']","['あみ', 'しい.る', 'ない']",[]
5041,罘,,['rabbit catching net'],['フ'],['うさぎあみ'],[]
5042,罟,,['net'],['コ'],['あみ'],[]
5043,罠,,"['trap', 'snare']","['ビン', 'ミン']","['わな', 'あみ']",[]
5044,罨,,['cover'],"['アン', 'エン']",['あみ'],[]
5045,罩,,['fish basket kept in water'],['トウ'],['こめ.る'],[]
5046,罧,,['luring fish with a bonfire'],['リン'],[],[]
5047,罸,,"['punishment', 'penalty']","['バツ', 'バチ', 'ハツ']",['はっ.する'],[]
5048,羂,,"['trap', 'snare']",['ケン'],['わな'],[]
5049,羆,,['brown bear'],['ヒ'],"['ひぐま', 'しぐま']",[]
5050,羃,,"['power', 'exponent']",['ベキ'],[],[]
5051,羈,,"['reins', 'connection']","['キ', 'ハ']","['おもが.い', 'たづな', 'たび', 'つな.ぐ']",[]
5052,羇,,['reins'],"['キ', 'ハ']","['おもが.い', 'たづな', 'たび', 'つな.ぐ']",[]
5053,羌,,['barbarian'],['キョウ'],"['ああ', 'えびす']",[]
5054,羔,,['lamb'],['コウ'],['こひつじ'],[]
5055,羞,,['feel ashamed'],['シュウ'],"['はじ.る', 'すすめ.る', 'は.ずかしい']",[]
5056,羝,,"['male sheep', 'ram']","['ラン', 'テイ']",['おひつじ'],[]
5057,羚,,['antelope'],"['レイ', 'リョウ']",['かもしか'],[]
5058,羣,,"['group', 'crowd', 'multitude', 'mob']",['グン'],"['む.れる', 'むれ', 'むら', 'むら.がる']",[]
5059,羯,,['barbarian'],"['カツ', 'ケツ']",[],[]
5060,羲,,['used in proper names'],"['ギ', 'キ']",[],[]
5061,羹,,['hot soup'],"['コウ', 'カン']",['あつもの'],[]
5062,羮,,['hot soup'],"['コウ', 'カン']",['あつもの'],[]
5063,羶,,['smelling like a sheep'],['セン'],['なまぐさ.い'],[]
5064,羸,,"['thin', 'weak']",['ルイ'],"['つか.れる', 'よわ.い']",[]
5065,譱,,"['virtuous', 'good', 'goodness']",['ゼン'],"['よ.い', 'い.い', 'よ.く']",[]
5066,翅,,"['(insect) wings', 'fly', 'merely']",['シ'],"['はね', 'つばさ']",[]
5067,翆,,"['color green', 'kingfisher']",['スイ'],"['かわせみ', 'みどり']",[]
5068,翊,,"['flying', 'assist', 'help', 'respect']",['ヨク'],[],[]
5069,翕,,['gather'],['キュウ'],['あ.う'],[]
5070,翔,1936,"['soar', 'fly']",['ショウ'],"['かけ.る', 'と.ぶ']",['か']
5071,翡,,['kingfisher'],['ヒ'],[],[]
5072,翦,,"['scissors', 'cut', 'clip', 'annihilate']",['セン'],[],[]
5073,翩,,['fluttering of flag'],['ヘン'],['ひるが.える'],[]
